번호,종목코드,종목명,현재가,전일대비,공시일,지정일,해제일
45,001527,동양2우B,"12,200",100,2018/05/28,2018/05/29,2018/06/14
44,004835,덕성우,"13,700",300,2018/05/25,2018/05/28,2018/06/12
43,001525,동양우,"6,890",170,2018/05/25,2018/05/28,2018/06/12
42,004545,깨끗한나라우,"21,300",-600,2018/05/23,2018/05/24,2018/06/08
41,004987,성신양회2우B,-,-,2018/05/23,2018/05/24,2018/06/08
40,002760,보락,"2,480",-25,2018/05/21,2018/05/23,2018/06/07
39,004985,성신양회우,"11,600",500,2018/05/17,2018/05/18,2018/06/08
38,006390,현대시멘트,"28,900",900,2018/05/16,2018/05/17,2018/06/08
37,006345,대원전선우,"2,450",0,2018/05/15,2018/05/16,2018/06/01
36,064350,현대로템,"16,650",300,2018/05/15,2018/05/16,2018/05/31
35,009810,엔케이물산,550,-10,2018/05/14,2018/05/15,2018/05/30
34,008355,남선알미우,"44,500",200,2018/05/11,2018/05/14,2018/05/29
33,003415,쌍용양회우,-,-,2018/05/11,2018/05/14,2018/05/29
32,012205,계양전기우,"7,430",-500,2018/05/11,2018/05/14,2018/05/21
31,010145,삼성중공우,"356,000","-1,000",2018/05/10,2018/05/11,2018/05/28
30,004565,현대비앤지스틸우,"63,300","-1,300",2018/05/09,2018/05/10,2018/05/28
29,014790,한라,"4,810",125,2018/05/09,2018/05/10,2018/05/25
28,069460,대호에이엘,"2,505",-25,2018/05/04,2018/05/08,2018/05/23
27,011390,부산산업,"113,500",0,2018/05/03,2018/05/04,2018/05/28
26,008970,동양철관,"1,120",30,2018/05/02,2018/05/03,2018/05/18
25,005965,동부건설우,"22,900",-300,2018/04/25,2018/04/26,2018/05/14
24,007110,일신석재,"1,890",-15,2018/04/23,2018/04/24,2018/05/10
23,000725,현대건설우,"173,000",-500,2018/04/23,2018/04/24,2018/05/09
22,000520,삼일제약,"20,800",-200,2018/04/10,2018/04/11,2018/04/25
21,005690,파미셀,"17,150",400,2018/04/09,2018/04/10,2018/04/24
20,109070,KGP,"4,100",00,2018/04/06,2018/04/09,2018/04/26
19,002760,보락,"2,480",-25,2018/04/06,2018/04/09,2018/04/23
18,013360,일성건설,"1,125",35,2018/04/04,2018/04/05,2018/04/19
17,007610,선도전기,"2,980",0,2018/03/27,2018/03/28,2018/04/11
16,006490,인스코비,"2,070",20,2018/03/26,2018/03/27,2018/04/20
15,091090,세원셀론텍,"2,915",-70,2018/03/21,2018/03/22,2018/04/05
14,005690,파미셀,"17,150",400,2018/03/20,2018/03/21,2018/04/05
