번호,종목코드,종목명,현재가,전일대비,공시일,지정일,해제일
43,57880,토필드,"2,015",-25,2016/05/25,2016/05/26,2016/06/10
42,49180,셀루메드,"5,980",00,2016/05/24,2016/05/25,2016/06/09
41,48870,코아로직,"3,355",-145,2016/05/03,2016/05/04,2016/05/20
40,63440,케이디미디어,"1,905",-5,2016/04/29,2016/05/02,2016/05/18
39,66590,우수AMS,"8,710",170,2016/04/28,2016/04/29,2016/05/17
38,109820,진매트릭스,"25,300",950,2016/04/28,2016/04/29,2016/05/17
37,60260,뉴보텍,"1,510",0,2016/04/20,2016/04/21,2016/05/23
36,47440,레이젠,-,-,2016/04/20,2016/04/21,2016/05/12
35,11080,형지I&C,"1,140",10,2016/04/15,2016/04/18,2016/05/04
34,131400,액트,"5,560",480,2016/04/12,2016/04/14,2016/05/02
33,158310,세호로보트,505,00,2016/04/11,2016/04/12,2016/04/27
32,31860,에이모션,"1,380",0,2016/04/06,2016/04/07,2016/04/25
31,50320,에스아이티글로벌,990,00,2016/04/04,2016/04/05,2016/04/21
30,194610,우성아이비,-,-,2016/04/01,2016/04/04,2016/04/19
29,49480,오픈베이스,"3,155",-5,2016/03/31,2016/04/01,2016/04/18
28,19570,제미니투자,510,0,2016/03/18,2016/03/21,2016/04/06
27,204630,심엔터테인먼트,"2,005",-15,2016/03/16,2016/03/17,2016/04/06
26,193250,영백씨엠,"1,420",5,2016/03/15,2016/03/16,2016/04/06
25,109740,디에스케이,"6,220",70,2016/03/15,2016/03/16,2016/04/05
24,8800,행남자기,"1,770",00,2016/03/10,2016/03/11,2016/03/28
23,94860,코닉글로리,"2,550",-50,2016/03/08,2016/03/09,2016/03/23
22,47770,코데즈컴바인,"2,525",5,2016/03/07,2016/03/08,2016/03/29
21,32790,엠젠플러스,"4,075",00,2016/02/23,2016/02/24,2016/03/15
20,21650,한국큐빅,"3,835",15,2016/02/23,2016/02/24,2016/03/10
19,32685,소프트센우,"31,700",-250,2016/02/18,2016/02/19,2016/03/07
18,65450,빅텍,"6,680",220,2016/02/12,2016/02/15,2016/02/29
17,44480,유니더스,"3,645",-45,2016/02/02,2016/02/03,2016/02/26
16,48870,코아로직,"3,355",-145,2016/01/27,2016/01/28,2016/02/16
15,222980,한국맥널티,"6,280",20,2016/01/25,2016/01/26,2016/02/12
14,217730,강스템바이오텍,"7,600",-490,2016/01/20,2016/01/21,2016/02/04
13,72520,태양기전,"2,820",-155,2016/01/15,2016/01/18,2016/02/01
12,224060,코디엠,450,-14,2016/01/07,2016/01/08,2016/01/25
11,56000,코원,"2,680",70,2016/01/04,2016/01/05,2016/01/19
10,123840,한일진공,"1,120",-30,2015/12/29,2015/12/30,2016/01/18
9,19570,제미니투자,510,0,2015/12/28,2015/12/29,2016/01/14
8,94860,코닉글로리,"2,550",-50,2015/12/24,2015/12/28,2016/01/13
7,121850,코이즈,"1,365",-25,2015/12/24,2015/12/28,2016/01/13
6,53800,안랩,"72,700",200,2015/12/23,2015/12/24,2016/01/12
5,48830,엔피케이,"1,900",10,2015/12/23,2015/12/24,2016/01/12
4,89230,용현BM,"1,095",-5,2015/12/21,2015/12/22,2016/01/15
3,104460,동양피엔에프,"18,100",100,2015/12/18,2015/12/21,2016/01/08
2,68150,엔티피아,-,-,2015/12/15,2015/12/16,2016/01/06
1,96040,이트론,323,-8,2015/10/26,2015/10/27,2016/06/09
67,218410,RFHIC,"43,050",550,2017/12/27,2017/12/28,2018/01/15
66,52420,오성엘에스티,"4,365",270,2017/12/21,2017/12/22,2018/01/10
65,19550,SBI인베스트먼트,"1,255",15,2017/12/20,2017/12/21,2018/01/11
64,41190,우리기술투자,"4,680",-165,2017/12/20,2017/12/21,2018/01/08
63,121800,비덴트,"7,970",-220,2017/12/19,2017/12/20,2018/01/10
62,57680,옴니텔,"2,980",-20,2017/12/19,2017/12/20,2018/01/08
61,106520,디지탈옵틱,"1,105",112,2017/12/18,2017/12/19,2018/01/05
60,66700,테라젠이텍스,"9,800",-20,2017/12/18,2017/12/19,2018/01/05
59,123840,한일진공,"1,120",-30,2017/12/18,2017/12/19,2018/01/05
58,43090,팜스웰바이오,"1,355",-200,2017/12/05,2017/12/06,2017/12/20
57,203690,프로스테믹스,"4,190",-165,2017/12/05,2017/12/06,2017/12/20
56,241820,피씨엘,"35,450","3,450",2017/12/04,2017/12/05,2017/12/26
55,900100,뉴프라이드,717,00,2017/12/01,2017/12/04,2017/12/18
54,36120,SCI평가정보,"4,265",-35,2017/11/30,2017/12/01,2017/12/18
53,19990,에너토크,"4,125",0,2017/11/29,2017/11/30,2017/12/14
52,144510,녹십자랩셀,"85,500","4,200",2017/11/27,2017/11/28,2017/12/12
51,7390,네이처셀,"9,480",20,2017/11/21,2017/11/22,2017/12/11
50,65060,지엔코,"1,055",-25,2017/11/21,2017/11/22,2017/12/06
49,180400,엠지메드,"7,740",00,2017/11/20,2017/11/21,2017/12/05
48,68760,셀트리온제약,"240,000","4,800",2017/11/16,2017/11/17,2017/12/01
47,58820,CMG제약,"5,500",-20,2017/11/09,2017/11/10,2017/11/27
46,53590,한국테크놀로지,"1,110",-10,2017/11/08,2017/11/09,2017/11/27
45,174900,앱클론,"35,300","1,700",2017/10/31,2017/11/01,2017/11/24
44,9620,삼보산업,"1,805",-45,2017/10/27,2017/10/30,2017/11/13
43,53110,소리바다,344,-14,2017/10/24,2017/10/25,2017/11/08
42,263810,상신전자,"5,080","1,025",2017/10/19,2017/10/20,2017/11/06
41,41190,우리기술투자,"4,680",-165,2017/10/18,2017/10/19,2017/11/02
40,54630,에이디칩스,986,1,2017/10/17,2017/10/18,2017/11/01
39,68760,셀트리온제약,"240,000","4,800",2017/10/13,2017/10/16,2017/10/30
38,37370,EG,"9,660",-100,2017/09/22,2017/09/25,2017/10/17
37,192410,감마누,"2,385",35,2017/09/11,2017/09/12,2017/09/26
36,41190,우리기술투자,"4,680",-165,2017/09/11,2017/09/12,2017/09/21
35,168330,내츄럴엔도텍,"2,525",00,2017/08/01,2017/08/02,2017/08/18
34,43200,파루,"2,665",40,2017/07/31,2017/08/01,2017/08/16
33,204620,유안타제1호스팩,"3,000",0,2017/07/05,2017/07/06,2017/07/20
32,220260,케이프이에스스팩,"6,820",90,2017/07/04,2017/07/05,2017/07/19
31,48410,현대아이비티,"22,100","-3,250",2017/06/26,2017/06/27,2017/07/11
30,215600,신라젠,"12,100",00,2017/06/19,2017/06/20,2017/07/04
29,192410,감마누,"2,385",35,2017/06/14,2017/06/15,2017/07/06
28,78940,일경산업개발,"2,210",25,2017/05/18,2017/05/19,2017/06/02
27,64090,한양하이타오,564,38,2017/05/08,2017/05/10,2017/05/31
26,197210,리드,-,-,2017/04/27,2017/04/28,2017/05/22
25,203650,드림시큐리티,"3,835",-45,2017/04/25,2017/04/26,2017/05/16
24,90710,디에스티로봇,"1,650",0,2017/04/11,2017/04/12,2017/04/26
23,27040,서울전자통신,859,-1,2017/04/06,2017/04/07,2017/04/21
22,83640,인콘,"3,315",-145,2017/04/06,2017/04/07,2017/04/21
21,99830,씨그널엔터테인먼트그룹,-,-,2017/04/05,2017/04/06,2017/04/24
20,250060,모비스,"2,505",-15,2017/03/31,2017/04/03,2017/04/17
19,53800,안랩,"72,700",200,2017/03/31,2017/04/03,2017/04/17
18,208870,하나머스트3호스팩,-,-,2017/03/30,2017/03/31,2017/04/14
17,218150,하나머스트5호스팩,"2,980",-10,2017/03/20,2017/03/21,2017/04/05
16,87260,모바일어플라이언스,"5,030",-170,2017/03/17,2017/03/20,2017/04/04
15,1840,이화공영,"5,460",100,2017/03/15,2017/03/16,2017/03/31
14,44180,KD건설,"1,270",-70,2017/03/02,2017/03/03,2017/03/17
13,78130,국일제지,"5,000",-40,2017/02/21,2017/02/22,2017/03/09
12,224060,코디엠,450,-14,2017/02/20,2017/02/21,2017/03/08
11,113810,디젠스,719,5,2017/02/14,2017/02/15,2017/03/02
10,3310,대주산업,"2,075",20,2017/02/06,2017/02/07,2017/02/22
9,44180,KD건설,"1,270",-70,2017/02/03,2017/02/06,2017/02/15
8,17250,인터엠,"1,380",5,2017/02/02,2017/02/03,2017/02/17
7,79650,서산,"2,340",35,2017/01/23,2017/01/24,2017/02/09
6,52270,우전,-,-,2017/01/10,2017/01/11,2017/01/26
5,48870,코아로직,"3,355",-145,2017/01/06,2017/01/09,2017/01/23
4,60570,아이리버,"5,470",10,2017/01/03,2017/01/04,2017/01/18
3,246690,티에스인베스트먼트,"3,390",30,2016/12/27,2016/12/28,2017/01/16
2,51170,썬코어,-,-,2016/12/23,2016/12/26,2017/01/10
1,51780,큐로홀딩스,626,-6,2016/12/21,2016/12/22,2017/01/10
116,23900,풍국주정,"20,800",150,2018/12/20,2018/12/21,2019/01/14
115,25980,아난티,"7,780",-30,2018/12/18,2018/12/19,2019/01/07
114,9730,코센,905,00,2018/12/13,2018/12/14,2019/01/08
113,123260,STC,-,-,2018/11/30,2018/12/03,2018/12/21
112,51160,지어소프트,"14,800","1,100",2018/11/26,2018/11/27,2018/12/11
111,263920,에스엔피월드,"4,555",00,2018/11/05,2018/11/06,2018/11/28
110,45890,DB라이텍,465,4,2018/11/02,2018/11/05,2018/11/19
109,78590,두올산업,"3,960",-190,2018/10/10,2018/10/11,2018/10/25
108,238090,앤디포스,"5,870",-150,2018/10/04,2018/10/05,2018/10/26
107,48410,현대바이오,"22,100","-3,250",2018/09/18,2018/09/19,2018/10/10
106,65620,제낙스,"3,190",00,2018/09/14,2018/09/17,2018/10/05
105,78590,두올산업,"3,960",-190,2018/09/12,2018/09/13,2018/10/02
104,290380,대유,"12,450",300,2018/09/11,2018/09/12,2018/10/01
103,7390,네이처셀,"9,480",20,2018/09/07,2018/09/10,2018/10/04
102,225430,IBKS제3호스팩,"2,820",5,2018/08/30,2018/08/31,2018/09/14
101,900040,차이나그레이트,-,-,2018/08/30,2018/08/31,2018/09/14
100,277410,IBKS제8호스팩,"1,950",5,2018/08/29,2018/08/30,2018/09/13
99,87600,픽셀플러스,"7,140",90,2018/08/10,2018/08/13,2018/08/28
98,66430,와이오엠,"1,660",0,2018/07/20,2018/07/23,2018/08/06
97,23440,제일제강,"2,330",80,2018/07/13,2018/07/16,2018/07/30
96,119830,아이텍반도체,"8,200",-30,2018/06/19,2018/06/20,2018/07/10
95,35890,서희건설,"1,410",20,2018/06/18,2018/06/19,2018/07/03
94,79970,투비소프트,"2,980",55,2018/06/14,2018/06/15,2018/06/29
93,63440,SM Life Design,"1,905",-5,2018/06/01,2018/06/04,2018/06/20
92,54780,키이스트,"10,500",150,2018/05/31,2018/06/01,2018/06/19
91,94940,푸른기술,"11,600",-50,2018/05/30,2018/05/31,2018/06/18
90,45390,대아티아이,"5,430",10,2018/05/29,2018/05/30,2018/06/15
89,61970,엘비세미콘,"12,550",750,2018/05/28,2018/05/29,2018/06/18
88,138360,에이씨티,"4,480",00,2018/05/25,2018/05/28,2018/06/12
87,66410,투윈글로벌,"1,875",75,2018/05/23,2018/05/24,2018/06/08
86,66430,와이오엠,"1,660",0,2018/05/21,2018/05/23,2018/06/11
85,32820,우리기술,"1,320",20,2018/05/21,2018/05/23,2018/06/07
84,263770,유에스티,"5,670",-30,2018/05/14,2018/05/15,2018/06/01
83,82800,루미마이크로,"2,010",35,2018/05/14,2018/05/15,2018/05/30
82,255220,SG,"1,815",-15,2018/05/04,2018/05/08,2018/05/23
81,45390,대아티아이,"5,430",10,2018/05/03,2018/05/04,2018/05/24
80,127160,매직마이크로,324,-19,2018/04/30,2018/05/02,2018/05/17
79,159580,제로투세븐,"8,260",-90,2018/04/30,2018/05/02,2018/05/17
78,58530,크레아플래닛,162,00,2018/04/30,2018/05/02,2018/05/17
77,224060,코디엠,450,-14,2018/04/27,2018/04/30,2018/05/16
76,96350,대창솔루션,486,-2,2018/04/26,2018/04/27,2018/05/18
75,9520,포스코엠텍,"4,515",50,2018/04/26,2018/04/27,2018/05/17
74,234100,세원,"4,420",-545,2018/04/25,2018/04/26,2018/05/14
73,151910,나노스,"3,340",15,2018/04/24,2018/04/25,2018/05/11
72,198440,고려시멘트,"3,025",35,2018/04/23,2018/04/24,2018/05/10
71,138610,나이벡,"38,650",800,2018/04/23,2018/04/24,2018/05/10
70,1840,이화공영,"5,460",100,2018/04/23,2018/04/24,2018/05/10
69,26150,특수건설,"6,970",210,2018/04/23,2018/04/24,2018/05/10
68,24810,이화전기,211,-1,2018/04/20,2018/04/23,2018/05/09
67,196450,텔루스,411,00,2018/04/19,2018/04/20,2018/05/10
66,28040,미래SCI,279,00,2018/04/19,2018/04/20,2018/05/08
65,32820,우리기술,"1,320",20,2018/04/18,2018/04/19,2018/05/04
64,49180,셀루메드,"5,980",00,2018/04/16,2018/04/17,2018/05/02
63,173940,에프엔씨엔터,"5,760",0,2018/04/13,2018/04/16,2018/04/30
62,203690,프로스테믹스,"4,190",-165,2018/04/13,2018/04/16,2018/04/30
61,32980,바이온,"1,335",-35,2018/04/12,2018/04/13,2018/04/27
60,67630,에이치엘비생명과학,"26,450",150,2018/04/12,2018/04/13,2018/04/27
59,42040,케이피엠테크,"2,900",-145,2018/04/10,2018/04/11,2018/04/25
58,197210,리드,-,-,2018/04/09,2018/04/10,2018/05/03
57,102210,해덕파워웨이,"1,100",00,2018/04/09,2018/04/10,2018/04/26
56,28300,에이치엘비,"89,100",-700,2018/04/09,2018/04/10,2018/04/25
55,97800,윈팩,"1,770",35,2018/04/09,2018/04/10,2018/04/24
54,224060,코디엠,450,-14,2018/04/03,2018/04/04,2018/04/13
53,217600,켐온,"4,520",95,2018/04/02,2018/04/03,2018/04/17
52,112240,에스에프씨,-,-,2018/03/30,2018/04/02,2018/04/16
51,215380,우정비에스씨,"9,260",-150,2018/03/23,2018/03/26,2018/04/09
50,82800,루미마이크로,"2,010",35,2018/03/20,2018/03/21,2018/04/04
49,83660,CSA 코스믹,"1,970",-80,2018/03/16,2018/03/19,2018/04/02
48,73070,넥센테크,407,00,2018/03/13,2018/03/14,2018/03/28
47,131100,리켐,"1,955",-25,2018/03/12,2018/03/13,2018/03/27
46,33100,제룡전기,"5,390",50,2018/03/12,2018/03/13,2018/03/27
45,8800,행남자기,"1,770",00,2018/03/12,2018/03/13,2018/03/27
44,127160,매직마이크로,324,-19,2018/03/09,2018/03/12,2018/04/13
43,33340,좋은사람들,"1,300",-120,2018/03/08,2018/03/09,2018/03/23
42,65500,오리엔트정공,796,16,2018/03/05,2018/03/06,2018/03/20
41,142760,바이오리더스,"5,910",-180,2018/02/28,2018/03/02,2018/03/19
40,219420,링크제니시스,"7,410",30,2018/02/27,2018/02/28,2018/03/15
39,25880,케이씨피드,"2,275",65,2018/02/23,2018/02/26,2018/03/13
38,66430,와이오엠,"1,660",0,2018/02/20,2018/02/21,2018/03/08
37,222810,닉스테크,674,-11,2018/02/19,2018/02/20,2018/03/12
36,52020,에스티큐브,"9,500",710,2018/02/19,2018/02/20,2018/03/12
35,117670,알파홀딩스,"4,555",5,2018/02/12,2018/02/13,2018/03/05
34,267790,배럴,"8,320",40,2018/02/08,2018/02/09,2018/02/27
33,73070,넥센테크,407,00,2018/02/07,2018/02/08,2018/02/27
32,131100,리켐,"1,955",-25,2018/01/31,2018/02/01,2018/02/23
31,36170,씨티엘,"1,775",-10,2018/01/31,2018/02/01,2018/02/19
30,33600,이젠텍,179,00,2018/01/30,2018/01/31,2018/02/14
29,252500,세화피앤씨,"3,750",-10,2018/01/29,2018/01/30,2018/02/13
28,41190,우리기술투자,"4,680",-165,2018/01/25,2018/01/26,2018/02/09
27,192250,케이사인,"1,500",-20,2018/01/25,2018/01/26,2018/02/09
26,36120,SCI평가정보,"4,265",-35,2018/01/24,2018/01/25,2018/02/08
25,203650,드림시큐리티,"3,835",-45,2018/01/23,2018/01/24,2018/02/07
24,79190,EMW,"2,780",00,2018/01/22,2018/01/23,2018/02/06
23,131090,시큐브,"1,630",30,2018/01/19,2018/01/22,2018/02/06
22,208640,썸에이지,"1,285",-30,2018/01/18,2018/01/19,2018/02/02
21,68760,셀트리온제약,"240,000","4,800",2018/01/16,2018/01/17,2018/01/31
20,78940,일경산업개발,"2,210",25,2018/01/09,2018/01/10,2018/01/24
19,85660,차바이오텍,"19,050",-100,2018/01/08,2018/01/09,2018/01/26
18,36620,버추얼텍,709,-4,2018/01/08,2018/01/09,2018/01/23
17,27830,대성창투,"1,920",20,2018/01/05,2018/01/08,2018/01/22
16,36120,SCI평가정보,"4,265",-35,2018/01/04,2018/01/05,2018/01/19
15,900100,뉴프라이드,717,00,2018/01/04,2018/01/05,2018/01/19
14,21080,에이티넘인베스트,"2,475",-85,2018/01/04,2018/01/05,2018/01/19
13,49630,재영솔루텍,"1,070",50,2018/01/04,2018/01/05,2018/01/19
12,215100,로보로보,"4,710",-160,2018/01/03,2018/01/04,2018/01/19
11,39200,오스코텍,"57,700",-800,2018/01/02,2018/01/03,2018/01/18
10,139050,아이지스시스템,"1,050",10,2017/12/28,2018/01/02,2018/01/19
9,218410,RFHIC,"43,050",550,2017/12/27,2017/12/28,2018/01/15
8,52420,오성엘에스티,"4,365",270,2017/12/21,2017/12/22,2018/01/10
7,19550,SBI인베스트먼트,"1,255",15,2017/12/20,2017/12/21,2018/01/11
6,41190,우리기술투자,"4,680",-165,2017/12/20,2017/12/21,2018/01/08
5,121800,비덴트,"7,970",-220,2017/12/19,2017/12/20,2018/01/10
4,57680,옴니텔,"2,980",-20,2017/12/19,2017/12/20,2018/01/08
3,106520,디지탈옵틱,"1,105",112,2017/12/18,2017/12/19,2018/01/05
2,66700,테라젠이텍스,"9,800",-20,2017/12/18,2017/12/19,2018/01/05
1,123840,한일진공,"1,120",-30,2017/12/18,2017/12/19,2018/01/05
92,86250,화신테크,"1,405",00,2019/12/27,2019/12/30,2020/01/20
91,65620,제낙스,"3,190",00,2019/12/20,2019/12/23,2020/01/09
90,88290,이원컴포텍,"6,350",-150,2019/12/16,2019/12/17,2020/01/03
89,109960,에이프로젠 H&G,731,-15,2019/12/12,2019/12/13,2019/12/30
88,41590,젬백스지오,700,-6,2019/12/09,2019/12/10,2019/12/24
87,32685,소프트센우,"31,700",-250,2019/12/03,2019/12/04,2019/12/18
86,94860,코닉글로리,"2,550",-50,2019/11/29,2019/12/02,2019/12/16
85,82800,루미마이크로,"2,010",35,2019/11/20,2019/11/21,2019/12/05
84,131760,파인텍,"1,655",65,2019/11/19,2019/11/20,2019/12/04
83,114190,웰크론강원,"2,500",00,2019/11/15,2019/11/18,2019/12/02
82,139050,데일리블록체인,"1,050",10,2019/11/14,2019/11/15,2019/11/29
81,195440,퓨전데이타,"2,075",00,2019/11/14,2019/11/15,2019/11/29
80,88290,이원컴포텍,"6,350",-150,2019/11/13,2019/11/14,2019/11/29
79,111710,남화산업,"11,150",350,2019/11/13,2019/11/14,2019/11/28
78,222810,한류AI센터,674,-11,2019/11/11,2019/11/12,2019/12/03
77,52300,W홀딩컴퍼니,298,0,2019/11/07,2019/11/08,2019/11/22
76,67630,에이치엘비생명과학,"26,450",150,2019/11/07,2019/11/08,2019/11/22
75,52670,제일바이오,"7,470",50,2019/11/01,2019/11/04,2019/11/18
74,82270,젬백스,"21,700",-200,2019/11/01,2019/11/04,2019/11/18
73,246720,아스타,"5,180",80,2019/10/30,2019/10/31,2019/11/14
72,114450,KPX생명과학,"12,650","-1,600",2019/10/29,2019/10/30,2019/11/13
71,52190,이에스에이,295,00,2019/10/24,2019/10/25,2019/11/08
70,43220,에이치엘비파워,"1,275",0,2019/10/23,2019/10/24,2019/11/14
69,56000,신스타임즈,"2,680",70,2019/10/17,2019/10/18,2019/11/12
68,182690,테라셈,"2,780",355,2019/10/16,2019/10/17,2019/11/01
67,88290,이원컴포텍,"6,350",-150,2019/10/14,2019/10/15,2019/11/04
66,28300,에이치엘비,"89,100",-700,2019/10/07,2019/10/08,2019/10/29
65,67630,에이치엘비생명과학,"26,450",150,2019/10/07,2019/10/08,2019/10/22
64,195500,마니커에프앤지,"8,170",20,2019/09/30,2019/10/01,2019/10/17
63,44960,이글벳,"9,370",-110,2019/09/20,2019/09/23,2019/10/08
62,25870,신라에스지,"8,400",0,2019/09/19,2019/09/20,2019/10/14
61,900340,윙입푸드,"1,385",15,2019/09/05,2019/09/06,2019/09/24
60,258610,이더블유케이,"9,330",-250,2019/08/14,2019/08/16,2019/09/05
59,160600,에스엔텍,310,00,2019/08/14,2019/08/16,2019/08/30
58,123010,옵토팩,"1,505",-15,2019/08/14,2019/08/16,2019/08/30
57,23770,플레이위드,"9,010",-20,2019/07/26,2019/07/29,2019/08/12
56,195990,유지인트,"1,780",100,2019/07/22,2019/07/23,2019/08/06
55,66430,와이오엠,"1,660",0,2019/07/19,2019/07/22,2019/08/06
54,60240,룽투코리아,"4,560",55,2019/07/16,2019/07/17,2019/07/31
53,78590,두올산업,"3,960",-190,2019/07/10,2019/07/11,2019/07/25
52,263540,샘코,"2,015",00,2019/07/05,2019/07/08,2019/07/22
51,23770,플레이위드,"9,010",-20,2019/07/02,2019/07/03,2019/07/10
50,38160,팍스넷,862,00,2019/06/27,2019/06/28,2019/07/15
49,29480,바른테크놀로지,525,11,2019/06/25,2019/06/26,2019/07/10
48,88290,이원컴포텍,"6,350",-150,2019/06/25,2019/06/26,2019/07/10
47,38340,UCI,"2,470",70,2019/06/17,2019/06/18,2019/07/09
46,239340,줌인터넷,"5,630",-200,2019/06/14,2019/06/17,2019/07/01
45,58400,KNN,"2,200",20,2019/06/12,2019/06/13,2019/06/27
44,121890,에스디시스템,739,00,2019/06/10,2019/06/11,2019/06/26
43,44960,이글벳,"9,370",-110,2019/06/07,2019/06/10,2019/06/24
42,35620,바른손이앤에이,"1,420",-5,2019/05/31,2019/06/03,2019/06/18
41,263540,샘코,"2,015",00,2019/05/29,2019/05/30,2019/06/10
40,78130,국일제지,"5,000",-40,2019/05/27,2019/05/28,2019/06/12
39,33110,코너스톤네트웍스,204,00,2019/05/22,2019/05/23,2019/06/07
38,96690,제이스테판,"6,140",-30,2019/05/21,2019/05/22,2019/06/05
37,317320,한화에스비아이스팩,"2,510",-10,2019/05/13,2019/05/14,2019/05/29
36,65500,오리엔트정공,796,16,2019/05/10,2019/05/13,2019/05/27
35,54940,엑사이엔씨,"1,505",-65,2019/05/09,2019/05/10,2019/05/24
34,900250,크리스탈신소재,"1,685",-15,2019/05/08,2019/05/09,2019/05/23
33,48410,현대바이오,"22,100","-3,250",2019/05/02,2019/05/03,2019/05/20
32,78130,국일제지,"5,000",-40,2019/04/30,2019/05/02,2019/05/10
31,239340,미래에셋제5호스팩,"5,630",-200,2019/04/10,2019/04/11,2019/04/25
30,48410,현대바이오,"22,100","-3,250",2019/04/05,2019/04/08,2019/04/22
29,113810,디젠스,719,5,2019/04/02,2019/04/03,2019/04/17
28,33110,이디,204,00,2019/04/01,2019/04/02,2019/04/18
27,158310,인터불스,505,00,2019/04/01,2019/04/02,2019/04/16
26,900120,씨케이에이치,476,-8,2019/03/29,2019/04/01,2019/04/15
25,215090,한컴유니맥스,765,24,2019/03/27,2019/03/28,2019/04/19
24,150840,인트로메딕,"3,200",-195,2019/03/19,2019/03/20,2019/04/03
23,268600,셀리버리,"166,300","8,400",2019/03/18,2019/03/19,2019/04/02
22,58530,슈펙스비앤피,162,00,2019/03/14,2019/03/15,2019/03/29
21,239340,미래에셋제5호스팩,"5,630",-200,2019/03/13,2019/03/14,2019/03/28
20,900340,윙입푸드,"1,385",15,2019/02/26,2019/02/27,2019/03/14
19,38530,골드퍼시픽,"1,380",-30,2019/02/21,2019/02/22,2019/03/11
18,226360,이엑스티,"2,460",60,2019/02/21,2019/02/22,2019/03/11
17,139670,넥스트리밍,"22,600",-100,2019/02/15,2019/02/18,2019/03/06
16,32800,판타지오,894,-8,2019/02/13,2019/02/14,2019/02/28
15,17680,데코앤이,-,-,2019/01/30,2019/01/31,2019/02/19
14,33830,티비씨,"1,005",5,2019/01/21,2019/01/22,2019/02/12
13,126880,제이엔케이히터,"8,060",110,2019/01/21,2019/01/22,2019/02/08
12,41140,넥슨지티,"12,750",300,2019/01/18,2019/01/21,2019/02/07
11,11320,유니크,"8,520",200,2019/01/18,2019/01/21,2019/02/07
10,54930,유신,"13,900",150,2019/01/17,2019/01/18,2019/02/12
9,174880,장원테크,"1,420",65,2019/01/16,2019/01/17,2019/01/31
8,53590,한국테크놀로지,"1,110",-10,2019/01/14,2019/01/15,2019/01/31
7,215480,토박스코리아,"1,120",0,2019/01/11,2019/01/14,2019/01/31
6,57030,와이비엠넷,"8,720",110,2019/01/07,2019/01/08,2019/01/22
5,95190,이엠코리아,"5,800",0,2019/01/04,2019/01/07,2019/01/23
4,16670,포비스티앤씨,993,1,2018/12/28,2019/01/02,2019/01/17
3,23900,풍국주정,"20,800",150,2018/12/20,2018/12/21,2019/01/14
2,25980,아난티,"7,780",-30,2018/12/18,2018/12/19,2019/01/07
1,9730,코센,905,00,2018/12/13,2018/12/14,2019/01/08
211,352940,인바이오,"14,600","-1,300",2020/12/21,2020/12/22,-
210,25950,동신건설,"36,000","-15,400",2020/12/18,2020/12/21,-
209,38880,아이에이,900,17,2020/12/17,2020/12/18,-
208,48410,현대바이오,"22,100","-3,250",2020/12/16,2020/12/17,-
207,204840,지엘팜텍,"1,355",0,2020/12/16,2020/12/17,-
206,318020,포인트모바일,"49,550","-4,450",2020/12/14,2020/12/15,-
205,195990,에이비프로바이오,"1,780",100,2020/12/09,2020/12/10,2020/12/24
204,139670,키네마스터,"22,600",-100,2020/12/04,2020/12/07,2020/12/21
203,323990,박셀바이오,"219,900","3,800",2020/12/03,2020/12/04,2020/12/24
202,217270,넵튠,"27,400","-2,250",2020/12/03,2020/12/04,2020/12/21
201,36090,위지트,"1,370",-15,2020/12/01,2020/12/02,2020/12/16
200,114450,KPX생명과학,"12,650","-1,600",2020/11/26,2020/11/27,2020/12/11
199,41020,인프라웨어,"2,185",5,2020/11/24,2020/11/25,2020/12/09
198,154030,아시아종묘,"5,640",200,2020/11/23,2020/11/24,2020/12/08
197,224060,코디엠,450,-14,2020/11/23,2020/11/24,2020/12/08
196,84990,헬릭스미스,"32,150","-1,050",2020/11/23,2020/11/24,2020/12/08
195,9620,삼보산업,"1,805",-45,2020/11/18,2020/11/19,2020/12/03
194,195990,에이비프로바이오,"1,780",100,2020/11/17,2020/11/18,2020/11/25
193,227950,엔투텍,"4,695",-40,2020/11/13,2020/11/16,2020/11/30
192,82850,우리바이오,"6,130",-60,2020/11/11,2020/11/12,2020/11/26
191,89230,THE E&M,"1,095",-5,2020/11/10,2020/11/11,2020/12/03
190,114450,KPX생명과학,"12,650","-1,600",2020/11/09,2020/11/10,2020/11/12
189,347000,센코,"22,650",100,2020/11/06,2020/11/09,2020/11/23
188,269620,시스웍,"2,125",-10,2020/11/04,2020/11/05,2020/11/19
187,323990,박셀바이오,"219,900","3,800",2020/11/02,2020/11/03,2020/11/18
186,27360,아주IB투자,"3,870",-85,2020/10/30,2020/11/02,2020/11/16
185,50090,휘닉스소재,"1,125",60,2020/10/29,2020/10/30,2020/11/13
184,19770,서연탑메탈,"8,610",860,2020/10/28,2020/10/29,2020/11/12
183,224060,코디엠,450,-14,2020/10/28,2020/10/29,2020/11/12
182,90710,휴림로봇,"1,650",0,2020/10/27,2020/10/28,2020/11/16
181,114450,KPX생명과학,"12,650","-1,600",2020/10/22,2020/10/23,2020/11/06
180,52420,오성첨단소재,"4,365",270,2020/10/15,2020/10/16,2020/10/30
179,294090,이오플로우,"60,400",400,2020/10/15,2020/10/16,2020/10/30
178,42040,케이피엠테크,"2,900",-145,2020/10/15,2020/10/16,2020/10/30
177,33200,모아텍,"9,950","-2,050",2020/10/13,2020/10/14,2020/11/03
